Tech node (nm)	 Capacity (bytes)	 Number of banks	 Associativity	 Output width (bits)	 Access time (ns)	 Random cycle time (ns)	 Dynamic search energy (nJ)	 Dynamic read energy (nJ)	 Dynamic write energy (nJ)	 Standby leakage per bank(mW)	 Area (mm2)	 Ndwl	 Ndbl	 Nspd	 Ndcm	 Ndsam_level_1	 Ndsam_level_2	 Data arrary area efficiency %	 Ntwl	 Ntbl	 Ntspd	 Ntcm	 Ntsam_level_1	 Ntsam_level_2	 Tag arrary area efficiency %	 
90	16834	1	4	512	1.35487	3.27376	 N/A	0.370677	0.35373	9.12142	0.776345	2	2	1	1	4	2	24.9378	2	2	1	1	2	1	63.1629	 
90	32768	1	4	512	1.39764	3.34037	 N/A	0.385906	0.387085	16.4975	0.969833	2	2	1	1	4	2	38.6536	2	2	1	1	2	1	71.4102	 
90	65536	1	4	512	1.51102	3.44435	 N/A	0.41621	0.454442	31.6867	1.36896	2	2	1	1	4	2	54.6859	2	2	1	1	2	1	76.6841	 
90	131072	1	4	512	1.59863	3.61034	 N/A	0.482228	0.564153	61.6046	2.29881	2	2	1	1	4	2	69.0385	2	2	2	1	4	1	78.228	 
90	262144	1	4	512	1.96104	3.89324	 N/A	0.59288	0.812509	121.492	3.96593	2	2	1	2	4	1	79.7405	2	2	2	1	4	1	81.7029	 
90	524288	1	4	512	2.62333	3.89324	 N/A	0.822114	1.02304	241.306	10.0815	2	4	1	2	4	1	66.9249	2	2	4	1	8	1	84.3404	 
90	1048576	1	4	512	3.608	3.89324	 N/A	1.25214	1.47534	481.418	21.4073	2	8	1	2	4	1	61.9112	2	2	4	1	4	2	85.6381	 
90	2097152	1	4	512	5.0595	10.9692	 N/A	1.80686	1.74765	931.852	38.2044	2	8	2	4	4	1	70.1819	2	4	8	1	16	1	85.2254	 
90	131072	1	1	512	1.46829	1.86851	 N/A	0.295412	0.604703	63.5039	2.23203	2	2	2	4	1	1	78.398	2	2	8	1	16	1	77.1008	 
90	131072	1	2	512	1.47098	1.86851	 N/A	0.303592	0.615022	63.7023	2.24949	2	2	1	2	2	1	78.3192	2	2	4	1	8	1	77.9289	 
90	131072	1	4	512	1.59863	3.61034	 N/A	0.482228	0.564153	61.6046	2.29881	2	2	1	1	4	2	69.0385	2	2	2	1	4	1	78.228	 
90	131072	1	8	512	2.65835	10.2732	 N/A	0.825942	0.794309	61.7041	2.72061	2	2	1	1	8	2	54.9431	2	2	1	1	2	1	78.5053	 
90	131072	1	16	512	4.5762	10.0942	 N/A	1.86033	1.89074	65.5714	7.56952	4	2	1	1	16	1	19.1033	2	2	0.5	1	1	1	78.6305	 
90	131072	1	32	512	8.55283	9.97471	 N/A	4.18548	4.14587	73.7651	15.9379	8	2	1	1	32	1	9.07014	2	2	0.5	1	1	1	72.8969	 
90	131072	1	64	512	16.4381	9.9181	 N/A	8.81739	8.63432	104.982	34.0036	16	2	1	1	64	1	4.25035	2	2	0.5	1	1	1	57.7957	 
90	524288	1	1	512	2.61526	3.89324	 N/A	0.798906	0.976161	240.156	9.9672	2	4	4	8	1	1	66.9693	2	2	16	1	32	1	82.9489	 
90	524288	1	2	512	2.61812	3.89324	 N/A	0.808185	0.99266	240.652	10.0271	2	4	2	4	2	1	66.9406	2	2	8	1	16	1	83.7465	 
90	524288	1	4	512	2.62333	3.89324	 N/A	0.822114	1.02304	241.306	10.0815	2	4	1	2	4	1	66.9249	2	2	4	1	8	1	84.3404	 
90	524288	1	8	512	3.13704	3.88777	 N/A	1.18587	1.42122	242.417	10.0111	4	2	1	1	8	1	62.888	2	2	2	1	4	1	84.4912	 
90	524288	1	16	512	4.92534	10.5483	 N/A	2.06554	2.16112	240.838	12.5258	4	2	1	1	16	1	47.5234	2	2	1	1	2	1	84.3552	 
90	524288	1	32	512	8.66277	10.0942	 N/A	4.57374	4.83605	254.875	35.6554	8	4	1	1	32	1	16.1742	2	2	0.5	1	1	1	84.1571	 
90	524288	1	64	512	15.3001	9.97471	 N/A	9.18386	9.31269	288.333	104.089	16	4	1	1	64	1	5.54143	2	2	0.5	1	1	1	80.1992	 
